at,poolName,pair,endBlock,priceBaseInQuote,riskScore,riskStatus,trend,deltaScore,events,syncBlock,syncAgeBlocks,flowStatus,flowNetQuote,flowGrossQuote,flowNetPct,flowGrossPct,l1Status,l1NetLiq15Quote,l1Churn15Quote,m1Status,m1BouncePairs,m1ClassicCandidates,m1ReversalPairs,volStatus,volShort,volLong
2026-02-27 08:13:12,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24546994,2038.8613003296318,33,ELEVATED,FLAT,0,,24546980,14,ELEVATED,23643127118,24374483300,0.25932181977135166,0.2673434581557631,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:13:12,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24546994,0.030124611575343806,28,ELEVATED,FLAT,0,STATE_STALE,24546964,30,OK,128,128,0.0000021447282412357312,0.0000021447282412357312,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:13:12,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24546994,2038.32632066502,55,HIGH,FLAT,0,MEV_SWARM,24546994,0,ELEVATED,18347920442,21349888298,0.2521776859077161,0.29343736487179756,OK,0,0,HIGH,11,0,1,OK,0.000245681486633389,
2026-02-27 08:13:12,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24546994,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,32,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:13:46,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24546996,2038.8613003296318,33,ELEVATED,FLAT,0,,24546980,16,ELEVATED,23643127118,24374483300,0.25932181977135166,0.2673434581557631,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:13:46,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24546996,0.030124611575343806,28,ELEVATED,FLAT,0,STATE_STALE,24546964,32,OK,128,128,0.0000021447282412357312,0.0000021447282412357312,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:13:46,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24546996,2038.32632066502,55,HIGH,FLAT,0,MEV_SWARM,24546994,2,ELEVATED,18322920442,21324888298,0.2518340806382458,0.29309375960232725,OK,0,0,HIGH,11,0,1,OK,0.000245681486633389,
2026-02-27 08:13:46,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24546996,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,34,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:14:17,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24546999,2039.0734442680641,33,ELEVATED,FLAT,0,,24546998,1,ELEVATED,24118155370,24849511552,0.2645182281336791,0.2725394485972428,OK,0,0,OK,1,0,0,OK,0.0000520223966076502,
2026-02-27 08:14:17,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24546999,0.030124611575343806,28,ELEVATED,FLAT,0,STATE_STALE,24546964,35,OK,128,128,0.0000021447282412357312,0.0000021447282412357312,OK,0,0,OK,0,0,0,OK,0,
